vid	yid	start	end	raw-text	tokenized-text	gloss	split
4eNt91uV02o-00:00:11.373-00:00:15.000	4eNt91uV02o	00:00:11.373	00:00:15.000	Harry Potter	harry potter		test
4eNt91uV02o-00:00:15.820-00:00:18.000	4eNt91uV02o	00:00:15.820	00:00:18.000	His name sign is:	his name sign is		test
4eNt91uV02o-00:00:36.400-00:00:39.900	4eNt91uV02o	00:00:36.400	00:00:39.900	Ron and Harry are best friends.	ron and harry are best friends		test
1nFdgokPwBw-00:00:14.100-00:00:17.266	1nFdgokPwBw	00:00:14.100	00:00:17.266	Are you all bored being stuck at home?	are you all bored being stuck at home	You all bored right-now stuck home.	valid
1nFdgokPwBw-00:00:28.133-00:00:30.500	1nFdgokPwBw	00:00:28.133	00:00:30.500	There might be some songs you know.	there might be some songs you know	Maybe you know most songs hmm.	valid
HtnT8Dk8BkU-00:00:44.500-00:00:57.466	HtnT8Dk8BkU	00:00:44.500	00:00:57.466	So, we are granting complementary membership fees for all Jr. NAD chapters… and for those who want to establish a new Jr. NAD chapter!	so we are granting complementary membership fees for all jr. nad chapters and for those who want to establish a new jr. nad chapter	So now+year we will dismiss not+need pay annual member fee_fs not need and that included for those who want set up establish new chapter_fs yes tru+biz can establish new JR_fs NAD_fs chapter_fs.	valid
HtnT8Dk8BkU-00:01:39.266-00:01:40.566	HtnT8Dk8BkU	00:01:39.266	00:01:40.566	Join today!	join today	Go-ahead join now.	valid
5dttR4Yq-2k-00:02:27.533-00:02:31.300	5dttR4Yq-2k	00:02:27.533	00:02:31.300	Believe it or not, I have a 9 to 5 job!	believe it or not i have a 9 to 5 job	Believe not uhh have 9-to-5 work cl:shift.	valid
5dttR4Yq-2k-00:03:40.166-00:03:46.400	5dttR4Yq-2k	00:03:40.166	00:03:46.400	It’s not their normal, so personally, I’ve learned that education is key.	it ’s not their normal so personally i ’ve learned that education is key	Not their normal so_fs uhh personally learned education key.	valid
um5PB4Bkq6c-00:00:25.000-00:00:31.166	um5PB4Bkq6c	00:00:25.000	00:00:31.166	You can communicate through various methods: texting, Skype, Videophone, and others like Marco Polo.	you can communicate through various methods texting skype videophone and others like marco polo	Can communicate is different+ texting texting_fs, skype_fs, v_fs, uhh VP hmm MP_fs.	valid
um5PB4Bkq6c-00:01:12.400-00:01:18.300	um5PB4Bkq6c	00:01:12.400	00:01:18.300	Also, it is important to have boundaries and to set realistic expectations.	also it is important to have boundaries and to set realistic expectations	And also important you have what boundaries meaning realistic_fs expectation.	valid
FaELOA6h-ec-00:01:31.233-00:01:41.200	FaELOA6h-ec	00:01:31.233	00:01:41.200	Often the patient has preferences such as wanting the caregiver to organize their files or simply clean for them.	often the patient has preferences such as wanting the caregiver to organize their files or simply clean for them	Often patient have preferences as IX want IX care to clean organize file hmm want to clean.	valid
QBlOz5OjdRE-00:02:01.700-00:02:03.133	QBlOz5OjdRE	00:02:01.700	00:02:03.133	Thank you!	thank you	Thank-you.	valid
2P0cJuo415A-00:00:18.766-00:00:22.600	2P0cJuo415A	00:00:18.766	00:00:22.600	It is important for them to have complete access, so they can continue to learn.	it is important for them to have complete access so they can continue to learn	Should make sure they continue full access can continue learn hmm	valid
2P0cJuo415A-00:02:59.066-00:03:06.266	2P0cJuo415A	00:02:59.066	00:03:06.266	Be sure to work with the educational audiologist to ensure the video and audio at home work well and have good connections.	be sure to work with the educational audiologist to ensure the video and audio at home work well and have good connections	Make sure work-out with education audiology-peron have thing IX home connect videophone hear perfect work-out successful.	valid
ohbo2X3bQoc-00:00:07.000-00:00:12.000	ohbo2X3bQoc	00:00:07.000	00:00:12.000	The NAD Board in Chicago is thrilled to host our Board meeting here.	the nad board in chicago is thrilled to host our board meeting here	We NAD_fs board here Chicago thrilled have board meeting here.	valid
